preco;tamanho (m²);qtd_quartos;qtd_banheiros;qtd_vagas_garagem;bairro;endereco
700000.0;96.0;3;2.0;2;Fernão Dias;Rua Queluzita
560000.0;110.0;3;2.0;1;Cidade Jardim;Rua Perdigão Malheiros
1250000.0;131.0;4;4.0;2;Sion;Rua da Groenlândia
1019981.0;60.0;2;3.0;2;Santa Efigênia;Rua Padre Marinho
740000.0;67.0;2;2.0;2;Liberdade;Rua Escravo Alexandre
950000.0;148.0;3;3.0;6;Santa Rosa;Rua Irmã Eufêmia
745400.0;83.0;3;2.0;2;Palmares;Avenida Pedro Serafim Ferreira
690000.0;110.0;3;2.0;2;Itapoã;Rua Doutor Mário Magalhães
340000.0;68.0;2;1.0;1;Piratininga;Rua Norma
950000.0;112.0;3;2.0;0;Santo Antônio;Rua Abre Campo
585000.0;105.0;2;2.0;1;Araguaia;Rua Caio Viana Martins
789500.0;76.0;3;3.0;2;Ouro Preto;Rua Sena Madureira
1937162.0;142.0;3;2.0;2;Carmo;Rua Rio Verde
1025000.0;60.0;2;2.0;2;Santo Agostinho;Rua Juiz de Fora
647000.0;68.0;3;2.0;2;Santa Inês;Rua Mantiqueira
890000.0;114.0;3;2.0;2;Esplanada;Rua Boninas
862732.0;56.0;1;1.0;2;Santo Agostinho;Rua dos Aimorés
795000.0;140.0;4;2.0;2;Santo Antônio;Rua Matipó
1121905.0;70.0;2;3.0;1;Nova Granada;Avenida Silva Lobo
1200000.0;103.0;3;2.0;2;Buritis;Rua Pedro Natalício de Morais
1850000.0;190.0;4;3.0;2;Cidade Nova;Rua Vereador Teixeira de Azeredo
660000.0;106.0;3;3.0;2;Grajaú;Rua Litargírio
650000.0;90.0;3;2.0;1;Coração de Jesus;Rua Donato da Fonseca
567000.0;44.0;1;1.0;1;Pampulha;Rua General Aranha
945000.0;114.0;4;3.0;3;Graça;Rua São Bento
650000.0;75.0;3;1.0;2;Manacás;Rua Maestro George Marinuzzi
520000.0;106.0;3;2.0;1;Heliópolis;Rua Doutor Alexandre Sartori
245000.0;52.0;2;1.0;1;Jardim Leblon;Rua São Gonçalo do Pará
399000.0;43.0;2;1.0;1;São João Batista;Rua Augusto Franco
426657.0;53.0;2;2.0;1;Estoril;Rua Paulo Piedade Campos
